"文件编号","清单文件名称","选用来源","文件名","原路径","扩展名","被Gold替代的源文件数","原路径长度","目标路径","执行结果"
"S0023-9073B","CGM-MS1发射器软件系统测试报告","项目管理文件","S0023-9073B CGM-MS1持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9073B CGM-MS1持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx",".docx","0","198","C:\Users\hejc\Desktop\DHF\S0023-9073B CGM-MS1持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx","预览"
"S0023-9074","CGM-MS1 发射器嵌入式软件开发过程追溯表","项目管理文件","S0023-9074 CGM-MS1发射器嵌入式软件开发过程追溯表[CGM-MS1 Transmitter Embedded Software Development Process Traceability Matrix].xlsx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9074 CGM-MS1发射器嵌入式软件开发过程追溯表[CGM-MS1 Transmitter Embedded Software Development Process Traceability Matrix].xlsx",".xlsx","0","185","C:\Users\hejc\Desktop\DHF\S0023-9074 CGM-MS1发射器嵌入式软件开发过程追溯表[CGM-MS1 Transmitter Embedded Software Development Process Traceability Matrix].xlsx","预览"
"S0023-9075","CGM-MS3 发射器嵌入式软件开发过程追溯表","项目管理文件","S0023-9075 CGM-MS3发射器嵌入式软件开发过程追溯表[CGM-MS3 Transmitter Embedded Software Development Process Traceability Matrix].xlsx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9075 CGM-MS3发射器嵌入式软件开发过程追溯表[CGM-MS3 Transmitter Embedded Software Development Process Traceability Matrix].xlsx",".xlsx","0","185","C:\Users\hejc\Desktop\DHF\S0023-9075 CGM-MS3发射器嵌入式软件开发过程追溯表[CGM-MS3 Transmitter Embedded Software Development Process Traceability Matrix].xlsx","预览"
"S0023-9076","CGM-MS5 发射器嵌入式软件开发过程追溯表","项目管理文件","S0023-9076 CGM-MS5发射器嵌入式软件开发过程追溯表[CGM-MS5 Transmitter Embedded Software Development Process Traceability Matrix].xlsx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9076 CGM-MS5发射器嵌入式软件开发过程追溯表[CGM-MS5 Transmitter Embedded Software Development Process Traceability Matrix].xlsx",".xlsx","0","185","C:\Users\hejc\Desktop\DHF\S0023-9076 CGM-MS5发射器嵌入式软件开发过程追溯表[CGM-MS5 Transmitter Embedded Software Development Process Traceability Matrix].xlsx","预览"
"S0023-9080","可用性工程计划","Gold Standard","S0023-9080 Usability Engineering Plan For CGMs .docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.1 Usability Plan\S0023-9080 Usability Engineering Plan For CGMs .docx",".docx","0","173","C:\Users\hejc\Desktop\DHF\S0023-9080 Usability Engineering Plan For CGMs .docx","预览"
"S0023-9080","可用性工程计划","Gold Standard","S0023-9080 Usability Engineering Plan For CGMs .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.1 Usability Plan\S0023-9080 Usability Engineering Plan For CGMs .pdf",".pdf","0","172","C:\Users\hejc\Desktop\DHF\S0023-9080 Usability Engineering Plan For CGMs .pdf","预览"
"S0023-9081","用户描述与用户界面特征","Gold Standard","S0023-9081 User Profile and User Interface Characteristics For CGMs.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.1 Usability Plan\S0023-9081 User Profile and User Interface Characteristics For CGMs.docx",".docx","0","193","C:\Users\hejc\Desktop\DHF\S0023-9081 User Profile and User Interface Characteristics For CGMs.docx","预览"
"S0023-9081","用户描述与用户界面特征","Gold Standard","S0023-9081 User Profile and User Interface Characteristics For CGMs.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.1 Usability Plan\S0023-9081 User Profile and User Interface Characteristics For CGMs.pdf",".pdf","0","192","C:\Users\hejc\Desktop\DHF\S0023-9081 User Profile and User Interface Characteristics For CGMs.pdf","预览"
"S0023-9083","形成性可用性测试报告","Gold Standard","S0023-9083 Formative Usability Test Report For CGMs.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.3 Usability report\S0023-9083 Formative Usability Test Report For CGMs.docx",".docx","0","179","C:\Users\hejc\Desktop\DHF\S0023-9083 Formative Usability Test Report For CGMs.docx","预览"
"S0023-9083","形成性可用性测试报告","Gold Standard","S0023-9083 Formative Usability Test Report For CGMs.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.3 Usability report\S0023-9083 Formative Usability Test Report For CGMs.pdf",".pdf","0","178","C:\Users\hejc\Desktop\DHF\S0023-9083 Formative Usability Test Report For CGMs.pdf","预览"
"S0023-9085","总结性可用性测试报告","Gold Standard","S0023-9085 Summative Usability Test Report For CGMs .docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.3 Usability report\S0023-9085 Summative Usability Test Report For CGMs .docx",".docx","0","180","C:\Users\hejc\Desktop\DHF\S0023-9085 Summative Usability Test Report For CGMs .docx","预览"
"S0023-9085","总结性可用性测试报告","Gold Standard","S0023-9085 Summative Usability Test Report For CGMs .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.3 Usability report\S0023-9085 Summative Usability Test Report For CGMs .pdf",".pdf","0","179","C:\Users\hejc\Desktop\DHF\S0023-9085 Summative Usability Test Report For CGMs .pdf","预览"
"S0023-9092","使用场景与任务分析适用于持续葡萄糖监测系统","Gold Standard","S0023-9092 Use Scenarios and Task Analysis For CGMs .docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.1 Usability Plan\S0023-9092 Use Scenarios and Task Analysis For CGMs .docx",".docx","0","178","C:\Users\hejc\Desktop\DHF\S0023-9092 Use Scenarios and Task Analysis For CGMs .docx","预览"
"S0023-9092","使用场景与任务分析适用于持续葡萄糖监测系统","Gold Standard","S0023-9092 Use Scenarios and Task Analysis For CGMs .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 13 Usability\13.1 Usability Plan\S0023-9092 Use Scenarios and Task Analysis For CGMs .pdf",".pdf","0","177","C:\Users\hejc\Desktop\DHF\S0023-9092 Use Scenarios and Task Analysis For CGMs .pdf","预览"
"S0023-9096","持续葡萄糖监测系统设计验证追溯表（1356）","项目管理文件","S0023-9096 Continuous Glucose Monitoring System Design Verification Traceability  持续葡萄糖监测系统设计验证追溯表.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9096 Continuous Glucose Monitoring System Design Verification Traceability  持续葡萄糖监测系统设计验证追溯表.docx",".docx","0","172","C:\Users\hejc\Desktop\DHF\S0023-9096 Continuous Glucose Monitoring System Design Verification Traceability  持续葡萄糖监测系统设计验证追溯表.docx","预览"
"S0023-9100","CGM上市后监督管理计划","Gold Standard","S0023-9100 Post-Market Surveillance Plan  for CGMs.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 15 Post-market surveillance\15. PMS Plan\S0023-9100 Post-Market Surveillance Plan  for CGMs.docx",".docx","0","184","C:\Users\hejc\Desktop\DHF\S0023-9100 Post-Market Surveillance Plan  for CGMs.docx","预览"
"S0023-9100","CGM上市后监督管理计划","Gold Standard","S0023-9100 Post-Market Surveillance Plan  for CGMs.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 15 Post-market surveillance\15. PMS Plan\S0023-9100 Post-Market Surveillance Plan  for CGMs.pdf",".pdf","0","183","C:\Users\hejc\Desktop\DHF\S0023-9100 Post-Market Surveillance Plan  for CGMs.pdf","预览"
"S0023-9101","通过产品使用说明书传达的安全信息和剩余风险","项目管理文件","S0023-9101 Safety Information and Residual Risks Communicated via the Product IFU.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9101 Safety Information and Residual Risks Communicated via the Product IFU.docx",".docx","0","155","C:\Users\hejc\Desktop\DHF\S0023-9101 Safety Information and Residual Risks Communicated via the Product IFU.docx","预览"
"S0023-9106","持续葡萄糖监测系统（CGMs）T4&T5技术评审报告","项目管理文件","S0023-9106 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T4&T5）.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T4&T5\S0023-9106 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T4&T5）.docx",".docx","0","111","C:\Users\hejc\Desktop\DHF\S0023-9106 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T4&T5）.docx","预览"
"S0023-9106","持续葡萄糖监测系统（CGMs）T4&T5技术评审报告","项目管理文件","S0023-9106_持续葡萄糖监测系统（CGMs）T4&T5技术评审报告 (1).doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T4&T5\S0023-9106_持续葡萄糖监测系统（CGMs）T4&T5技术评审报告 (1).doc",".doc","0","107","C:\Users\hejc\Desktop\DHF\S0023-9106_持续葡萄糖监测系统（CGMs）T4&T5技术评审报告 (1).doc","预览"
"S0023-9113A","Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor","Gold Standard","S0023-9113A Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9113A Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor.DOC",".DOC","0","253","C:\Users\hejc\Desktop\DHF\S0023-9113A Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor.DOC","预览"
"S0023-9113A","Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor","Gold Standard","S0023-9113A Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9113A Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor.pdf",".pdf","0","253","C:\Users\hejc\Desktop\DHF\S0023-9113A Process Validation Protocol for Enzyme Coating of Blood Glucose Sensor.pdf","预览"
"S0023-9113B","Process Validation Report for Enzyme Coating of Blood Glucose Sensor","Gold Standard","S0023-9113B Process Validation Report for Enzyme Coating of Blood Glucose Sensor.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9113B Process Validation Report for Enzyme Coating of Blood Glucose Sensor.DOC",".DOC","0","251","C:\Users\hejc\Desktop\DHF\S0023-9113B Process Validation Report for Enzyme Coating of Blood Glucose Sensor.DOC","预览"
"S0023-9113B","Process Validation Report for Enzyme Coating of Blood Glucose Sensor","Gold Standard","S0023-9113B Process Validation Report for Enzyme Coating of Blood Glucose Sensor.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9113B Process Validation Report for Enzyme Coating of Blood Glucose Sensor.pdf",".pdf","0","251","C:\Users\hejc\Desktop\DHF\S0023-9113B Process Validation Report for Enzyme Coating of Blood Glucose Sensor.pdf","预览"
"S0023-9114A","Process Validation Protocol for Outer Membrane Coating of Blood Glucose Sensor","Gold Standard","S0023-9114A Process Validation Protocol for Outer Membrane Coating of Blood Glucose S.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9114A Process Validation Protocol for Outer Membrane Coating of Blood Glucose S.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9114A Process Validation Protocol for Outer Membrane Coating of Blood Glucose S.pdf","预览"
"S0023-9114A","Process Validation Protocol for Outer Membrane Coating of Blood Glucose Sensor","Gold Standard","S0023-9114A Process Validation Protocol for Outer Membrane Coating of Blood Glucose Sensor.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9114A Process Validation Protocol for Outer Membrane Coating of Blood Glucose Sensor.DOC",".DOC","0","261","C:\Users\hejc\Desktop\DHF\S0023-9114A Process Validation Protocol for Outer Membrane Coating of Blood Glucose Sensor.DOC","预览"
"S0023-9114B","Process Validation Report for Outer Membrane Coating of Blood Glucose Sensor","Gold Standard","S0023-9114B Process Validation Report for Outer Membrane Coating of Blood Glucose Sen.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9114B Process Validation Report for Outer Membrane Coating of Blood Glucose Sen.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9114B Process Validation Report for Outer Membrane Coating of Blood Glucose Sen.pdf","预览"
"S0023-9114B","Process Validation Report for Outer Membrane Coating of Blood Glucose Sensor","Gold Standard","S0023-9114B Process Validation Report for Outer Membrane Coating of Blood Glucose Sensor.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9114B Process Validation Report for Outer Membrane Coating of Blood Glucose Sensor.DOC",".DOC","0","259","C:\Users\hejc\Desktop\DHF\S0023-9114B Process Validation Report for Outer Membrane Coating of Blood Glucose Sensor.DOC","预览"
"S0023-9115A","Process Validation Protocol for Cleaning after Electrochemical Testing of Sensor","Gold Standard","S0023-9115A Process Validation Protocol for Cleaning after Electrochemical Testing of Sensor.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9115A Process Validation Protocol for Cleaning after Electrochemical Testing of Sensor.DOC",".DOC","0","263","C:\Users\hejc\Desktop\DHF\S0023-9115A Process Validation Protocol for Cleaning after Electrochemical Testing of Sensor.DOC","预览"
"S0023-9115A","Process Validation Protocol for Cleaning after Electrochemical Testing of Sensor","Gold Standard","S0023-9115A Process Validation Protocol for Cleaning after Electrochemical Testing of.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9115A Process Validation Protocol for Cleaning after Electrochemical Testing of.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9115A Process Validation Protocol for Cleaning after Electrochemical Testing of.pdf","预览"
"S0023-9115B","Process Validation Report for Cleaning after Electrochemical Testing of Sensor","Gold Standard","S0023-9115B Process Validation Report for Cleaning after Electrochemical Testing of S.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9115B Process Validation Report for Cleaning after Electrochemical Testing of S.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9115B Process Validation Report for Cleaning after Electrochemical Testing of S.pdf","预览"
"S0023-9115B","Process Validation Report for Cleaning after Electrochemical Testing of Sensor","Gold Standard","S0023-9115B Process Validation Report for Cleaning after Electrochemical Testing of Sensor.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9115B Process Validation Report for Cleaning after Electrochemical Testing of Sensor.DOC",".DOC","0","261","C:\Users\hejc\Desktop\DHF\S0023-9115B Process Validation Report for Cleaning after Electrochemical Testing of Sensor.DOC","预览"
"S0023-9117A","Process Validation Protocol for Cleaning after Electrical Testing of CGM-MS5&MS6","Gold Standard","S0023-9117A Process Validation Protocol for Cleaning after Electrical Testing of CGM- MS3.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9117A Process Validation Protocol for Cleaning after Electrical Testing of CGM- MS3.doc",".doc","0","260","C:\Users\hejc\Desktop\DHF\S0023-9117A Process Validation Protocol for Cleaning after Electrical Testing of CGM- MS3.doc","预览"
"S0023-9117A","Process Validation Protocol for Cleaning after Electrical Testing of CGM-MS5&MS6","Gold Standard","S0023-9117A Process Validation Protocol for Cleaning after Electrical Testing of CGM-.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9117A Process Validation Protocol for Cleaning after Electrical Testing of CGM-.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9117A Process Validation Protocol for Cleaning after Electrical Testing of CGM-.pdf","预览"
"S0023-9117B","Process Validation Report for Cleaning after Electrical Testing of CGM- MS5 & MS6","Gold Standard","S0023-9117B Process Validation Report for Cleaning after Electrical Testing of CGM- M.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9117B Process Validation Report for Cleaning after Electrical Testing of CGM- M.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9117B Process Validation Report for Cleaning after Electrical Testing of CGM- M.pdf","预览"
"S0023-9117B","Process Validation Report for Cleaning after Electrical Testing of CGM- MS5 & MS6","Gold Standard","S0023-9117B Process Validation Report for Cleaning after Electrical Testing of CGM- MS3.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9117B Process Validation Report for Cleaning after Electrical Testing of CGM- MS3.doc",".doc","0","258","C:\Users\hejc\Desktop\DHF\S0023-9117B Process Validation Report for Cleaning after Electrical Testing of CGM- MS3.doc","预览"
"S0023-9126","软件风险管理计划","Gold Standard","S0023-9126 Research Report on the Synthesis Process of Metal Coordination Polymers fo.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9126 Research Report on the Synthesis Process of Metal Coordination Polymers fo.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9126 Research Report on the Synthesis Process of Metal Coordination Polymers fo.pdf","预览"
"S0023-9126","软件风险管理计划","Gold Standard","S0023-9126 Research Report on the Synthesis Process of Metal Coordination Polymers for Continuous Glucose Monitoring Systems.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9126 Research Report on the Synthesis Process of Metal Coordination Polymers for Continuous Glucose Monitoring Systems.DOC",".DOC","0","295","C:\Users\hejc\Desktop\DHF\S0023-9126 Research Report on the Synthesis Process of Metal Coordination Polymers for Continuous Glucose Monitoring Systems.DOC","预览"
"S0023-9127","软件风险管理报告","Gold Standard","S0023-9127 Research Report on the Synthesis Process of the Outer Membrane Layer Polym.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9127 Research Report on the Synthesis Process of the Outer Membrane Layer Polym.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9127 Research Report on the Synthesis Process of the Outer Membrane Layer Polym.pdf","预览"
"S0023-9127","软件风险管理报告","Gold Standard","S0023-9127 Research Report on the Synthesis Process of the Outer Membrane Layer Polymer for Continuous Glucose Monitoring Systems.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9127 Research Report on the Synthesis Process of the Outer Membrane Layer Polymer for Continuous Glucose Monitoring Systems.DOC",".DOC","0","300","C:\Users\hejc\Desktop\DHF\S0023-9127 Research Report on the Synthesis Process of the Outer Membrane Layer Polymer for Continuous Glucose Monitoring Systems.DOC","预览"
"S0023-9132","CGM-MS3持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9132 Attachment-Detailed Design of Architecture and Software for Continuous Glucose Monitoring System Transmitter .docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9132 Attachment-Detailed Design of Architecture and Software for Continuous Glucose Monitoring System Transmitter .docx",".docx","0","342","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9132 Attachment-Detailed Design of Architecture and Software for Continuous Glucose Monitoring System Transmitter .docx","预览"
"S0023-9132","CGM-MS3持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9132 Attachment-Detailed Design of Architecture and Software for Continuous Glucose Monitoring System Transmitter .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9132 Attachment-Detailed Design of Architecture and Software for Continuous Glucose Monitoring System Transmitter .pdf",".pdf","0","341","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9132 Attachment-Detailed Design of Architecture and Software for Continuous Glucose Monitoring System Transmitter .pdf","预览"
"S0023-9132","CGM-MS3持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9132 Transmitter Software Architecture and Detailed Design of the CGM-MS3 Continuous Glucose Monitoring System.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9132 Transmitter Software Architecture and Detailed Design of the CGM-MS3 Continuous Glucose Monitoring System.docx",".docx","0","338","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9132 Transmitter Software Architecture and Detailed Design of the CGM-MS3 Continuous Glucose Monitoring System.docx","预览"
"S0023-9132","CGM-MS3持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9132 Transmitter Software Architecture and Detailed Design of the CGM-MS3 Continuous Glucose Monitoring System.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9132 Transmitter Software Architecture and Detailed Design of the CGM-MS3 Continuous Glucose Monitoring System.pdf",".pdf","0","337","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9132 Transmitter Software Architecture and Detailed Design of the CGM-MS3 Continuous Glucose Monitoring System.pdf","预览"
"S0023-9133","CGM-MS5持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9133 Attachment-Transmitter Software Architecture and Detailed Design of the CGM-MS5.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9133 Attachment-Transmitter Software Architecture and Detailed Design of the CGM-MS5.docx",".docx","0","312","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9133 Attachment-Transmitter Software Architecture and Detailed Design of the CGM-MS5.docx","预览"
"S0023-9133","CGM-MS5持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9133 Attachment-Transmitter Software Architecture and Detailed Design of the CGM-MS5.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9133 Attachment-Transmitter Software Architecture and Detailed Design of the CGM-MS5.pdf",".pdf","0","311","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9133 Attachment-Transmitter Software Architecture and Detailed Design of the CGM-MS5.pdf","预览"
"S0023-9133","CGM-MS5持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9133 Transmitter Software Architecture and Detailed Design of the CGM-MS5 Continuous Glucose Monitoring System.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9133 Transmitter Software Architecture and Detailed Design of the CGM-MS5 Continuous Glucose Monitoring System.docx",".docx","0","338","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9133 Transmitter Software Architecture and Detailed Design of the CGM-MS5 Continuous Glucose Monitoring System.docx","预览"
